edad,visitas_mes,tiempo_sitio,productos_vistos,clics_ofertas,historial_compras,descuento_promedio,sexo,dispositivo,region,miembro_premium,monto_compra
19,22,10.6,34,15,24,0.08,Masculino,Móvil,Sur,No,324.4
59,29,3.56,12,0,10,0.342,Masculino,Desktop,Sur,Sí,315.2
62,55,17.37,19,9,6,0.234,Femenino,Móvil,Norte,No,326.14
23,3,6.77,37,7,11,0.004,Femenino,Desktop,Norte,No,196.95
45,12,22.29,44,17,9,0.089,Masculino,Desktop,Sur,Sí,868.8709999999999
45,26,9.5,17,0,6,0.091,Femenino,Desktop,Norte,No,242.61
61,16,13.61,10,1,12,0.024,Masculino,Desktop,Norte,No,217.53
61,51,18.59,12,0,6,0.336,Masculino,Móvil,Norte,No,338.17
37,37,17.92,16,0,23,0.167,Femenino,Móvil,Sur,Sí,364.08
47,22,19.94,24,8,16,0.314,Masculino,Móvil,Norte,Sí,375.84
28,57,5.91,19,12,9,0.113,Masculino,Móvil,Sur,No,287.81
45,29,7.46,8,0,9,0.044,Femenino,Móvil,Norte,Sí,232.37
42,14,12.9,31,12,23,0.166,Masculino,Desktop,Centro,No,345.92
56,28,15.36,21,6,3,0.04,Masculino,Desktop,Norte,No,272.08
50,5,11.96,17,1,19,0.17,Femenino,Móvil,Norte,Sí,298.09
18,47,5.45,23,5,3,0.322,Masculino,Desktop,Sur,No,271.1
44,49,,37,6,21,0.182,Femenino,Tablet,Sur,No,413.93
69,30,11.22,16,13,6,0.216,Masculino,Desktop,Norte,No,322.93
30,46,11.18,6,17,21,0.055,Femenino,Desktop,Centro,No,324.87
58,52,,8,14,0,0.015,Femenino,Móvil,Norte,No,202.09
20,5,15.19,25,1,11,0.039,Femenino,Móvil,Norte,No,168.51
56,12,12.58,18,9,23,0.209,Masculino,Móvil,Centro,No,331.06
23,16,19.18,25,11,12,0.033,Femenino,Móvil,Sur,No,238.42
25,26,11.7,12,16,9,0.132,Femenino,Tablet,Norte,No,226.89
44,26,14.27,15,7,14,0.193,Femenino,Desktop,Sur,No,282.36
26,48,15.33,26,10,12,0.136,Femenino,Móvil,Sur,No,302.76
54,21,5.02,41,2,22,0.057,Femenino,Móvil,Centro,No,302.87
50,39,22.47,26,5,21,0.096,Masculino,Desktop,Centro,Sí,405.62
68,36,10.28,32,8,21,0.325,Masculino,Móvil,Sur,No,365.67
59,33,13.98,10,5,20,0.237,Masculino,Móvil,Norte,Sí,365.88
61,30,14.56,16,8,21,0.174,Masculino,Desktop,Sur,Sí,388.35
41,37,8.74,7,6,8,0.004,Masculino,Móvil,Norte,Sí,237.04
32,23,19.39,17,8,8,0.347,Masculino,Móvil,Norte,No,312.97
49,58,13.06,23,17,14,0.235,Masculino,Móvil,Centro,No,378.53
49,10,11.15,26,11,9,0.111,Femenino,Desktop,Norte,No,271.38
41,54,12.55,21,7,23,0.308,Masculino,Desktop,Norte,No,415.91
58,5,15.06,22,7,24,0.09,Femenino,Móvil,Sur,No,311.44
69,36,12.04,7,17,9,0.19,Femenino,Móvil,Centro,No,290.04
66,34,15.53,14,14,7,0.223,Masculino,Móvil,Norte,No,316.13
66,52,5.26,15,6,23,0.077,Femenino,Desktop,Norte,No,347.41
69,31,9.01,7,10,15,0.342,Femenino,Desktop,Centro,Sí,347.57
29,10,3.44,9,15,16,0.262,Femenino,Móvil,Sur,No,259.45
56,58,19.99,8,3,4,0.195,Femenino,Desktop,Centro,No,306.69
19,19,19.94,23,5,3,0.063,Masculino,Móvil,Centro,No,192.8
20,58,14.51,29,2,17,0.019,Masculino,Móvil,Norte,Sí,325.97
66,32,7.95,18,8,23,0.112,Masculino,Móvil,Norte,No,337.02
54,1,21.56,31,9,18,0.264,Masculino,Móvil,Sur,Sí,335.87
66,56,9.58,30,13,3,0.094,Masculino,Móvil,Norte,No,326.05
34,5,11.15,39,10,6,0.189,Masculino,Móvil,Norte,No,252.86
66,45,12.64,35,17,9,0.255,Masculino,Móvil,Centro,No,385.67
19,4,13.81,18,11,24,,Masculino,Desktop,Norte,Sí,308.61
19,16,14.58,42,11,17,0.24,Masculino,Móvil,Sur,No,327.09
45,24,14.74,39,12,18,0.032,Masculino,Desktop,Centro,No,311.75
40,16,11.42,17,12,3,0.338,Femenino,Tablet,Sur,No,274.38
54,55,14.67,14,13,9,0.171,Masculino,Móvil,Centro,No,326.94
49,2,11.24,31,3,0,0.053,Femenino,Móvil,Norte,Sí,197.88
50,49,14.32,24,12,22,0.12,Femenino,Móvil,Centro,No,370.6
18,28,13.99,35,7,17,0.145,Femenino,Móvil,Centro,No,304.16
36,32,15.05,44,11,4,0.265,Femenino,Móvil,Norte,No,302.15
19,27,14.55,34,17,14,0.26,Masculino,Desktop,Norte,Sí,376.21
61,20,10.23,3,5,16,0.214,Femenino,Desktop,Sur,No,255.85
43,24,13.83,37,17,2,0.037,Masculino,Móvil,Sur,No,276.51
49,12,14.61,43,4,11,0.053,Masculino,Desktop,Norte,No,282.49
23,50,6.84,40,8,1,0.033,Femenino,Móvil,Norte,Sí,268.42
49,35,10.9,26,2,0,0.202,Masculino,Desktop,Norte,No,243.31
21,33,14.43,23,9,22,0.307,Femenino,Desktop,Centro,Sí,405.45
28,33,18.84,44,2,20,0.152,Femenino,Desktop,Centro,Sí,377.08
34,51,15.3,39,14,16,0.056,Masculino,Móvil,Centro,Sí,395.55
55,43,19.09,15,0,21,0.195,Masculino,Móvil,Norte,No,373.25
41,37,10.41,4,6,15,0.284,Femenino,Tablet,Sur,No,276.94
22,12,13.0,29,11,4,0.26,Masculino,Móvil,Norte,No,241.27
69,3,15.22,22,16,14,0.309,Masculino,Tablet,Centro,Sí,362.03
51,1,2.69,25,4,2,0.097,Masculino,Móvil,Centro,No,145.48
23,33,18.04,13,3,6,0.068,Femenino,Móvil,Norte,No,211.89
39,40,4.56,18,11,10,0.308,Femenino,Móvil,Norte,No,313.68
28,10,15.99,33,17,9,0.23,Masculino,Móvil,Centro,No,271.53
65,43,14.75,16,16,8,0.109,Masculino,Tablet,Centro,Sí,321.06
33,44,2.64,42,8,13,0.26,Masculino,Móvil,Centro,No,329.05
50,29,2.84,44,3,12,0.285,Masculino,Móvil,Norte,Sí,310.53
26,13,17.73,2,1,24,0.215,Masculino,Móvil,Centro,No,280.83
23,12,16.86,35,3,24,0.241,Femenino,Móvil,Centro,Sí,375.91
33,31,8.48,42,1,1,0.131,Masculino,Móvil,Sur,Sí,616.63
46,46,8.47,34,14,2,0.189,Femenino,Móvil,Norte,No,315.54
20,2,14.05,30,1,6,0.183,Masculino,Desktop,Sur,No,237.64
37,51,11.95,13,3,20,0.297,Femenino,Móvil,Sur,Sí,398.87
53,50,16.22,13,5,17,0.294,Masculino,Móvil,Centro,No,370.56
36,35,13.92,18,6,2,,Femenino,Móvil,Norte,No,290.41
43,23,18.33,32,9,9,0.004,Masculino,Móvil,Centro,Sí,331.14
20,17,15.88,32,11,21,0.262,Femenino,Tablet,Norte,No,358.98
36,26,14.88,35,2,6,0.266,Femenino,Móvil,Sur,Sí,299.96
37,8,10.59,39,12,8,0.237,Femenino,Móvil,Norte,No,238.16
49,29,10.3,29,17,16,0.265,Femenino,Desktop,Centro,No,349.24
24,26,11.79,29,7,10,0.295,Femenino,Móvil,Centro,Sí,326.95
69,10,19.36,44,14,6,0.165,Femenino,Móvil,Centro,Sí,351.36
58,26,10.37,16,0,23,0.176,Masculino,Tablet,Norte,No,299.11
50,34,13.04,44,2,13,0.044,Femenino,Desktop,Sur,No,319.08
57,51,3.02,10,7,18,0.135,Masculino,Tablet,Sur,No,277.67
56,41,14.7,30,3,3,0.225,Masculino,Móvil,Norte,No,296.42
35,7,21.03,25,15,5,0.273,Masculino,Móvil,Centro,No,294.19
57,4,8.27,39,9,9,0.076,Masculino,Móvil,Sur,Sí,278.42
18,58,24.7,20,11,6,0.048,Masculino,Móvil,Centro,No,321.47
28,53,12.73,5,13,12,0.232,Femenino,Desktop,Norte,No,353.76
45,50,2.0,1,13,13,0.001,Femenino,Móvil,Centro,Sí,279.33
42,45,10.46,30,1,3,0.062,Femenino,Desktop,Sur,Sí,275.85
67,11,17.32,3,4,7,0.01,Masculino,Desktop,Sur,Sí,269.37
40,29,20.0,14,4,4,0.058,Femenino,Móvil,Centro,No,250.19
48,56,14.87,30,5,0,0.063,Femenino,Móvil,Norte,No,287.56
47,36,18.27,4,12,3,0.136,Femenino,Desktop,Centro,Sí,302.3
59,25,7.29,18,8,2,0.141,Femenino,Móvil,Norte,No,220.4
52,21,9.28,37,14,8,0.306,Femenino,Desktop,Centro,Sí,333.79
24,57,5.28,25,13,7,0.179,Masculino,Móvil,Sur,No,310.17
33,36,9.58,1,6,0,0.253,Femenino,Móvil,Norte,Sí,261.53
43,10,15.05,15,1,5,0.036,Masculino,Desktop,Norte,No,164.3
65,37,12.85,9,6,8,0.079,Masculino,Tablet,Norte,No,277.24
69,9,15.47,15,5,6,0.246,Masculino,Móvil,Sur,No,258.07
66,24,8.25,24,16,3,0.018,Masculino,Desktop,Centro,No,232.14
19,35,8.5,4,1,12,0.17,Masculino,Móvil,Sur,Sí,229.74
18,49,12.82,12,2,16,,Femenino,Desktop,Norte,No,310.9
65,35,9.59,37,4,1,0.211,Femenino,Desktop,Centro,Sí,315.96
29,48,17.21,37,4,4,0.008,Femenino,Móvil,Sur,Sí,335.37
22,36,9.49,43,0,11,0.113,Masculino,Móvil,Norte,No,278.81
54,18,10.02,6,7,20,0.223,Femenino,Desktop,Norte,Sí,338.58
49,49,13.68,39,11,7,,Femenino,Móvil,Sur,Sí,831.1279999999999
26,39,10.44,24,3,5,0.243,Masculino,Desktop,Sur,No,288.88
58,32,7.06,11,12,7,0.261,Masculino,Móvil,Sur,No,289.42
52,24,7.6,13,14,17,0.344,Masculino,Desktop,Norte,No,341.79
36,23,14.15,34,10,2,0.073,Masculino,Desktop,Sur,Sí,262.66
65,32,6.57,25,9,21,0.289,Femenino,Tablet,Norte,Sí,444.91
33,37,17.59,7,2,11,0.182,Masculino,Móvil,Sur,No,246.51
20,12,9.24,4,13,2,0.131,Masculino,Desktop,Norte,Sí,200.57
37,49,14.46,8,15,21,0.043,Femenino,Desktop,Norte,Sí,349.61
41,55,9.48,20,9,5,0.257,Femenino,Móvil,Centro,No,313.77
50,13,8.34,29,9,1,0.083,Masculino,Móvil,Sur,No,199.96
41,23,12.98,10,11,22,0.13,Femenino,Móvil,Sur,No,310.92
69,25,16.21,43,8,11,0.022,Masculino,Desktop,Norte,Sí,325.0
28,35,11.01,34,0,1,0.28,Masculino,Móvil,Norte,Sí,300.75
66,41,11.74,26,4,5,0.268,Femenino,Móvil,Norte,No,291.92
25,30,15.23,41,7,16,0.257,Femenino,Desktop,Centro,Sí,377.87
53,17,15.36,3,10,2,0.105,Masculino,Móvil,Centro,No,220.69
55,49,11.85,6,11,1,0.061,Masculino,Móvil,Norte,No,251.34
57,20,10.23,5,0,22,0.223,Masculino,Tablet,Sur,No,285.56
37,48,12.33,5,10,19,0.174,Femenino,Tablet,Sur,Sí,371.6
52,25,11.24,23,4,7,0.062,Masculino,Móvil,Centro,Sí,273.3
65,22,13.25,9,14,21,0.24,Masculino,Móvil,Centro,No,333.38
42,13,7.22,35,4,11,0.347,Masculino,Desktop,Norte,No,280.96
52,59,13.11,20,11,3,0.262,Masculino,Móvil,Sur,No,333.94
42,19,9.13,42,4,4,0.259,Masculino,Móvil,Norte,Sí,272.3
46,49,15.62,35,16,12,0.333,Femenino,Móvil,Centro,Sí,451.79
35,36,9.31,18,16,14,0.071,Masculino,Móvil,Sur,No,288.07
63,12,9.38,17,11,24,0.198,Masculino,Desktop,Sur,No,329.39
35,41,13.78,24,14,22,0.343,Masculino,Móvil,Centro,No,413.58
19,19,12.06,3,14,15,0.058,Masculino,Desktop,Norte,Sí,267.33
52,12,21.11,32,5,9,0.245,Femenino,Tablet,Norte,No,291.87
33,9,5.48,35,11,24,0.205,Femenino,Móvil,Sur,No,288.93
58,7,12.44,38,17,22,0.205,Femenino,Desktop,Centro,No,367.83
53,28,16.52,13,13,15,0.244,Masculino,Desktop,Sur,No,346.16
50,14,9.69,25,1,11,0.325,Masculino,Móvil,Centro,Sí,286.47
21,31,8.36,9,8,16,0.274,Femenino,Móvil,Norte,No,267.35
50,52,8.52,4,4,15,0.02,Femenino,Desktop,Centro,Sí,303.12
31,19,5.55,14,0,11,0.298,Femenino,Desktop,Norte,No,218.7
38,58,17.4,37,2,7,0.079,Masculino,Desktop,Centro,No,295.55
65,47,10.68,34,5,19,0.132,Masculino,Móvil,Sur,No,356.77
37,16,10.21,11,4,2,0.162,Femenino,Tablet,Norte,No,147.01
25,53,3.5,41,4,15,0.168,Femenino,Móvil,Sur,Sí,336.48
24,5,6.27,3,0,12,0.152,Femenino,Móvil,Sur,No,141.64
20,35,17.86,28,16,22,0.328,Masculino,Desktop,Norte,No,419.74
34,12,13.21,29,13,18,0.247,Masculino,Móvil,Norte,Sí,324.39
50,25,16.67,9,11,7,0.221,Masculino,Móvil,Sur,Sí,293.89
65,52,16.16,3,9,21,0.017,Femenino,Móvil,Sur,No,334.98
29,59,8.0,25,17,4,0.316,Femenino,Móvil,Sur,Sí,353.7
68,21,21.72,34,10,19,0.318,Masculino,Móvil,Sur,No,422.84
39,36,19.8,12,1,7,0.273,Femenino,Tablet,Norte,No,260.62
