TSNE_1,TSNE_2,segmento_cliente
-0.61479586,-7.910638,0
6.812882,1.4280297,1
-3.5618632,0.13147083,2
1.1132889,1.3178519,1
-2.3285644,5.9741964,2
1.8860325,2.6269848,0
3.4456632,-3.8299599,0
-5.835939,-1.1099573,2
-3.399804,1.8742234,2
2.6800537,-8.785783,1
7.547674,-4.3346953,1
-1.9230067,7.1125016,0
-3.5054464,-3.7134874,0
-7.7992907,-4.098482,2
4.826491,3.858772,0
-2.796465,-3.5174353,0
-0.89470714,7.128574,0
2.4304068,6.9171176,2
0.112353854,-0.90561205,2
10.297599,0.9149765,1
