TSNE_1,TSNE_2,diagnostico
0.5392396,0.95649034,1
3.1808474,-4.497071,0
4.9796486,9.291157,1
-0.81257856,-1.5524977,2
0.4033012,-0.7642142,2
3.319505,-5.5153017,1
-5.810403,-5.376231,2
4.081127,5.0004525,1
-8.203093,0.74779356,2
5.8862386,-8.821237,0
1.9098904,-6.871255,0
-1.4489596,3.0834267,1
3.7657127,6.5828943,1
3.4372363,3.6372447,0
-4.651152,-6.924161,2
7.9039445,-4.627649,0
3.1748767,-0.26256594,0
-0.055392034,5.0941434,1
0.08104963,2.2689276,1
8.635597,5.2659593,1
-0.88700664,-0.50390637,2
-1.513576,5.4832077,1
5.157006,3.7199059,1
-0.40070045,3.3236296,1
-0.0028967552,1.8713745,1
8.05503,-2.2421105,1
-2.8388314,-2.7288613,2
-0.8428592,-8.619517,0
-0.96653324,-2.9134984,2
-2.9760058,3.023797,2
6.2224674,1.9790603,1
5.9332533,-1.5353974,0
-0.47440836,7.946963,1
-0.8176372,1.0849832,2
-0.30400094,6.0737376,1
-0.8499822,7.4699974,1
-5.8988857,-5.58247,2
7.384828,6.8048515,1
-2.8057873,-0.045768056,2
-1.4546773,-2.28728,2
-0.43684343,9.200015,1
2.6584542,-3.2029722,0
-2.1104536,-1.6901181,2
0.20285302,-4.084015,2
6.116128,-6.3602095,0
5.002932,7.8855267,1
3.0822296,1.9349735,1
1.1173233,5.9205666,1
-1.5827153,-4.7684712,2
-2.025281,-1.4214545,2
-2.4560885,-3.8196275,2
3.5244043,7.4179215,1
-2.7274117,4.385775,2
7.6460204,1.790867,2
-1.1305484,-3.1997104,2
-6.5292583,-0.7574829,0
-0.25152627,3.5794523,1
5.487728,-3.4397328,0
-0.047936976,-1.7242129,2
1.7435194,4.9877276,1
-8.457527,2.0317492,2
7.028617,-8.459482,0
9.055813,-6.4950776,0
7.011632,-1.3402861,0
-7.1346755,4.2514653,1
-8.787492,0.3461596,0
1.1317279,10.065138,1
-5.5346055,0.417611,0
7.7943196,0.53478205,2
4.1587663,4.415469,1
5.5003633,-0.35987434,1
0.5592562,-0.7991786,2
2.7956212,4.6312733,1
3.3485804,3.7189224,1
4.490121,0.74860966,0
-6.967913,0.5631794,0
-4.2974734,5.2839456,1
-3.687477,-8.654939,2
-8.177693,-2.2931209,0
-3.051226,-2.12821,2
4.10997,-6.0051875,0
-1.4267449,7.562754,1
0.7933281,10.170591,1
6.5518327,-1.9274315,0
-5.423302,-5.124182,2
5.3384743,-6.938713,0
4.6964326,-5.949784,0
-5.1999364,-3.661611,2
7.0199914,-3.1417449,0
-1.9242111,-7.474496,2
1.7911819,-3.4058585,0
-6.2963233,-2.593598,0
-7.932257,-1.7031549,0
0.16203956,2.3524268,1
-9.7488365,1.1149079,1
1.5937011,7.94157,2
6.9074545,9.804555,1
-8.84435,-0.12084562,0
-4.133317,5.4650803,1
4.6002,2.408464,1
-1.798661,-5.77283,2
-5.0339932,-4.138336,2
6.9237733,3.681631,0
-5.645454,1.3178096,0
5.561414,-2.5880852,0
-0.85865533,11.304023,1
2.6856637,-9.49387,0
4.100822,-8.367107,0
6.7618127,7.242131,1
6.076454,-5.010505,0
4.3969355,-0.9817294,0
8.509314,2.5908642,2
-3.2788844,3.1928124,2
-0.5930652,4.459457,1
1.8809104,-6.2439947,0
-3.6329455,-5.051326,2
-3.0411158,-5.1480875,2
-2.814178,7.3786297,1
6.3769274,-3.6765306,0
8.680573,0.28239846,2
6.1867404,-7.3404746,0
-4.816832,9.15525,1
-0.26197428,9.654186,1
4.7340055,-5.5147047,0
6.969016,-8.45105,0
4.9836597,6.7383757,1
0.5992437,4.230048,1
-3.7780132,6.14013,1
7.0364017,-5.895752,0
-3.1898587,-0.79868585,2
1.6543137,-6.168744,0
-5.4904485,1.5195074,0
1.4620293,-0.48655647,2
-2.7768419,0.60608774,2
-4.209077,-1.0119075,2
-1.879354,10.355514,1
-8.951317,-0.96800244,0
-3.8168542,3.8399012,0
2.845885,0.23037007,2
1.4851457,12.49022,2
1.4993261,-8.002581,0
3.0208507,10.003184,2
-6.893824,1.9484856,0
-0.036736067,-10.069679,0
6.179689,-4.674848,0
-4.6506658,-4.810405,2
4.331725,-1.0140177,0
-5.9841022,-0.6201482,0
-6.2113385,-8.420466,2
5.9960623,0.28583747,0
-2.4649625,-4.0384793,2
-9.629635,-1.9791516,0
6.623535,5.3236985,1
-4.495782,7.707164,1
0.40748936,-4.5989976,2
-5.542856,0.30226603,0
-2.6081808,0.25342005,2
2.4301615,6.198454,1
2.9888797,-0.9604365,0
-2.4171462,4.454128,1
5.8704534,-8.713403,0
8.636129,-3.4363086,0
-7.924781,-4.1766644,2
4.6206107,-1.547727,0
2.2387822,-2.552942,0
6.417312,-4.798943,0
-2.9099753,-4.944082,2
-0.714335,-1.5313218,2
-4.143071,2.2405157,2
4.65562,5.45155,1
-6.61557,3.3934627,1
0.8968484,-0.81509936,2
-3.8230178,0.106608674,1
-6.689112,7.536352,1
-0.03276224,-7.3723392,0
-7.056184,3.7063313,1
-5.7890306,-0.25158113,0
-3.5804684,11.073746,1
1.0076983,7.66337,1
6.1488686,5.9225063,1
0.15722936,4.938183,1
-5.6584396,-1.3838091,0
-4.7650723,-0.32869166,2
-4.643101,-6.6802053,2
-9.460878,-4.4089417,2
-6.0587997,-4.111007,2
-6.086412,-3.351224,2
-4.7592335,-1.9435104,2
1.8991593,3.567373,1
2.1468115,2.5765226,0
1.423922,-4.196633,0
3.681283,-4.536557,0
1.0631899,-4.4164963,0
-0.83520526,11.521028,1
7.273453,-6.8556657,0
-1.3909967,1.1888725,2
-5.954739,1.0300734,0
-2.2347329,8.972984,1
1.3394836,1.3742354,1
-2.1006465,-3.0742612,2
-2.0344577,0.8853456,1
-9.489984,3.2511332,1
6.3031254,1.9672282,2
0.29430434,6.097467,1
-5.167836,4.341786,1
1.7179335,3.3966498,0
10.33491,-2.6022882,0
8.36223,2.545729,2
-1.6505259,-1.3230122,2
3.4420977,8.355796,1
-1.0304391,5.5082645,1
3.3205307,-1.9994591,0
-3.9393325,6.235673,1
1.2746161,-3.1160104,2
-0.85426116,0.82011205,2
10.7240925,1.4780824,2
0.19865352,0.042297848,2
-6.083916,-3.0706048,2
3.117073,3.5486019,1
-1.8393114,-0.26421997,2
7.587462,-3.5798995,0
1.7927362,3.535348,1
-2.3755581,2.3440647,1
-2.8753042,-6.0142365,2
5.239366,-3.2296758,0
-1.1310817,-0.574583,2
3.6035883,-2.924041,0
-7.99366,-3.409785,0
-6.701535,-4.9738626,2
4.9440846,-3.7805717,0
8.87018,3.1295645,2
-2.5306737,-6.5449753,2
5.778295,-5.929453,0
-4.706325,3.0015826,2
-8.402276,5.934994,2
-2.8097064,8.891235,1
-7.738337,-3.8578093,2
6.3291845,-3.4972441,0
-1.6373255,2.3156297,2
8.175162,-5.44939,0
-1.7171184,-5.9429026,2
-3.717761,-2.4478838,2
-2.24838,8.999914,1
-2.7234645,1.9419793,2
2.2045448,2.3594015,2
-4.9043,-7.1478066,2
0.3881564,-6.0712748,1
3.427173,0.097101256,0
5.728592,4.0106635,1
-0.77273935,2.1655605,2
-2.455952,5.6853743,1
-0.53643996,9.414341,1
0.56695867,3.014024,1
-1.213935,-5.239068,2
-0.91241604,-0.2979077,2
6.965408,-1.1279318,0
1.8309888,-2.1929772,0
-4.0913377,-1.8199195,2
4.5339622,-9.1639595,0
-4.3221145,-1.8734484,2
10.046939,-4.7443256,1
0.9451562,-0.9816209,2
