id_estudiante,sexo,horas_sueno,actividad_fisica_dias,porciones_frutas_verduras,comida_rapida_dias,nivel_estres,desayuna_diario
68,Femenino,6.79,3,1,2,7,No
69,Masculino,7.64,2,2,0,5,Sí
70,Masculino,5.54,3,2,2,9,No
71,Masculino,5.95,4,5,2,4,Sí
72,Masculino,7.65,0,5,3,3,No
73,Femenino,5.92,2,2,2,4,No
74,Masculino,8.32,1,2,2,5,No
75,Femenino,8.35,1,3,0,6,Sí
76,Masculino,8.33,5,2,3,3,Sí
77,Masculino,5.83,4,1,3,2,Sí
78,Masculino,6.88,3,2,4,4,Sí
79,Femenino,6.26,1,5,0,5,Sí
80,Masculino,7.82,3,5,4,4,No
81,Femenino,8.68,3,3,0,3,Sí
82,Masculino,7.76,2,4,2,8,Sí
83,Femenino,6.81,3,1,1,10,Sí
84,Masculino,6.4,3,3,2,4,Sí
85,Femenino,7.51,4,4,2,2,No
86,Femenino,5.45,4,3,0,2,Sí
87,Masculino,7.39,1,3,2,1,No
88,Femenino,5.79,3,3,4,4,Sí
89,Masculino,7.48,4,3,1,10,No
90,Masculino,6.62,3,5,2,9,No
91,Masculino,6.37,5,3,3,7,Sí
92,Masculino,5.83,4,5,0,10,No
93,Masculino,6.41,2,2,2,7,Sí
94,Masculino,7.41,1,2,1,7,No
95,Masculino,7.95,4,5,0,8,Sí
96,Masculino,7.38,1,3,1,1,No
97,Masculino,8.3,3,3,3,10,No
98,Masculino,9.59,5,3,1,10,No
99,Masculino,6.44,3,6,2,8,No
100,Femenino,6.57,3,6,1,4,Sí
101,Femenino,5.22,4,3,5,4,Sí
102,Masculino,8.11,3,5,1,4,Sí
103,Masculino,8.23,3,2,4,6,Sí
104,Masculino,5.85,5,4,2,7,No
105,Masculino,7.48,3,3,0,6,Sí
106,Masculino,8.14,5,2,1,1,No
107,Masculino,7.05,5,4,3,8,No
108,Masculino,7.73,2,1,2,10,No
109,Masculino,6.99,1,3,3,7,Sí
110,Femenino,5.46,1,1,3,6,No
111,Masculino,7.95,1,3,1,6,No
112,Femenino,8.26,1,3,0,5,Sí
113,Masculino,7.61,4,1,1,6,No
114,Masculino,5.75,1,2,4,9,No
115,Femenino,5.97,3,4,2,10,Sí
116,Masculino,5.56,4,2,4,9,Sí
117,Femenino,7.65,1,5,3,10,Sí
118,Masculino,8.2,4,0,2,8,Sí
119,Masculino,7.27,2,3,3,10,Sí
120,Femenino,7.83,2,2,2,9,Sí
121,Masculino,5.85,4,0,2,10,Sí
122,Femenino,6.96,4,2,2,8,Sí
123,Masculino,5.29,5,2,3,8,No
124,Femenino,5.95,4,4,1,1,Sí
125,Femenino,7.77,4,2,2,10,No
126,Masculino,6.54,2,1,3,5,Sí
127,Masculino,8.13,2,1,2,4,Sí
128,Femenino,7.39,4,0,0,2,Sí
129,Masculino,9.81,4,2,1,8,Sí
130,Masculino,6.9,6,4,2,3,Sí
131,Masculino,5.25,3,3,2,4,No
132,Femenino,6.76,3,5,1,7,Sí
133,Femenino,5.74,4,5,0,10,No
134,Femenino,7.87,3,3,5,9,No
135,Femenino,6.85,5,4,2,2,Sí
136,Femenino,6.65,5,1,1,3,Sí
137,Femenino,6.66,3,3,2,4,No
138,Femenino,7.61,4,4,0,10,Sí
139,Femenino,6.3,4,4,2,1,Sí
140,Femenino,7.65,2,3,1,7,No
141,Masculino,7.95,5,2,3,2,Sí
142,Femenino,6.42,3,2,4,5,No
143,Masculino,5.78,4,3,2,1,No
144,Masculino,6.24,3,3,0,3,Sí
145,Masculino,7.58,5,4,2,2,Sí
146,Femenino,6.9,3,0,2,1,Sí
147,Femenino,7.49,0,2,3,7,Sí
148,Femenino,8.74,5,4,5,5,Sí
149,Femenino,7.05,1,2,2,1,No
150,Masculino,5.91,3,4,3,6,Sí
